Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
META,"Meta Platforms, Inc. Class A",20.30%,573.25,+5.47,+0.96%,11.31 M,279.40 - 602.95
GOOGL,Alphabet Inc A,10.69%,165.27,+2.55,+1.57%,19.8 M,120.21 - 191.75
GOOG,Alphabet Inc C,8.85%,166.99,+2.46,+1.50%,14.54 M,121.46 - 193.31
NFLX,NetFlix Inc,6.40%,754.68,+0.13,+0.02%,2.82 M,395.62 - 773.00
TMUS,T-Mobile US Inc,4.81%,226.36,-7.20,-3.08%,6.48 M,137.69 - 234.40
CMCSA,Comcast Corp A,4.54%,41.66,+0.01,+0.02%,19.36 M,36.43 - 47.11
DIS,Walt Disney Co,4.52%,95.03,-0.37,-0.39%,6.63 M,79.23 - 123.74
TTWO,Take-Two Interactive Software,4.48%,161.79,+0.53,+0.33%,1.04 M,130.34 - 171.59
T,AT&T Inc,4.34%,21.83,-0.37,-1.67%,26.03 M,14.74 - 22.58
EA,Electronic Arts,4.29%,145.20,+0.17,+0.12%,1.23 M,119.92 - 153.51
CHTR,Charter Communications Inc A,4.25%,336.00,+3.98,+1.20%,0.91 M,236.08 - 430.57
VZ,Verizon Communications Inc,4.01%,41.38,-0.48,-1.15%,19.71 M,33.34 - 45.36
OMC,Omnicom Group,3.34%,100.52,+0.06,+0.06%,1.08 M,73.58 - 106.51
LYV,Live Nation Entertainment Inc.,3.09%,116.32,-0.13,-0.11%,1.06 M,76.48 - 117.48
WBD,Warner Bros Discovery Inc.,2.88%,7.60,+0.08,+1.06%,19.08 M,6.64 - 12.70
IPG,Interpublic Group Cos,1.90%,29.80,-0.09,-0.30%,2.76 M,27.54 - 35.17
NWSA,News Corp A,1.67%,25.99,+0.04,+0.15%,1.48 M,20.11 - 28.62
MTCH,"Match Group, Inc.",1.63%,37.21,-0.20,-0.53%,2.29 M,27.66 - 42.43
FOXA,Fox Corp A,1.59%,41.71,0.00,0.00%,1.35 M,28.29 - 42.85
PARA,Paramount Global Class B,1.04%,10.27,-0.03,-0.29%,5.68 M,9.54 - 17.50
FOX,Fox Corp B,0.86%,38.35,+0.01,+0.03%,0.42 M,25.82 - 39.32
NWS,News Corp B,0.53%,27.75,+0.05,+0.18%,0.41 M,20.85 - 29.59