Date,Symbol,Name,Kicker
2021-11-29,ODFL,Old Dominion Freight Line,1
2021-12-06,CSX,CSX Corporation,1
2022-01-03,ALGN,Align Technology,-1
2022-01-10,DLTR,Dollar Tree,-1
2022-01-17,NXPI,NXP,-1
2022-01-17,MRVL,Marvell Technology,-1
2022-01-17,TEAM,Atlassian,-1
2022-02-28,CHTR,Charter Communications,-1
2022-02-28,KLAC,KLA Corporation,-1
2022-03-07,GILD,Gilead Sciences,-1
2022-04-18,FTNT,Fortinet,-1
2022-04-25,AMAT,Applied Materials,-1
2022-05-09,META,Meta Platforms,-1
2022-05-16,FAST,Fastenal,-1
2022-05-16,ZM,Zoom Video Communications,-1
2022-05-23,ISRG,Intuitive Surgical,1
2022-05-23,ASML,ASML Holding,1
2022-05-23,AEP,American Electric Power,1
2022-05-23,XEL,Xcel Energy,1
2022-05-30,AZN,AstraZeneca,-1
2022-06-20,LCID,Lucid Motors,1
2022-06-20,NFLX,Netflix,1
2022-06-20,NVDA,Nvidia,1
2022-06-20,COST,Costco,1
2022-06-20,ZS,Zscaler,1
2022-06-20,CDNS,Cadence Design Systems,1
2022-06-20,ANSS,Ansys,1
2022-07-18,NTES,NetEase,1
2022-07-18,SNPS,Synopsys,1
2022-07-18,ABNB,Airbnb,1
2022-07-18,MELI,MercadoLibre,1
2022-07-25,SGEN,Seagen,1
2022-08-15,BIDU,Baidu,-1
2022-08-22,FISV,Fiserv,-1
2022-08-22,HON,Honeywell,-1
2022-08-22,TMUS,T-Mobile US,-1
2022-08-22,LULU,Lululemon,-1
2022-08-22,EXC,Exelon,-1
2022-08-29,WDAY,"Workday, Inc.",-1
2022-09-05,ILMN,"Illumina, Inc.",1
2022-09-19,TSLA,"Tesla, Inc.",-1
2022-10-03,ROST,Ross Stores,1
2022-10-03,AMGN,Amgen,1
2022-10-03,MCHP,Microchip Technology,1
2022-10-03,AMZN,Amazon,1
2022-10-03,CTAS,Cintas,1
2022-10-03,VRSN,Verisign,1
2022-10-03,DOCU,DocuSign,-1
2022-10-10,LRCX,Lam Research,-1
2022-10-10,JD,JD.com,-1
2022-10-10,MAR,Marriott International,1
2022-10-10,PDD,Pinduoduo,-1
2022-10-10,PYPL,PayPal,-1
2022-10-10,KHC,Kraft Heinz,1
2022-10-17,SPLK,Splunk,1
2022-10-17,VRTX,Vertex Pharmaceuticals,1
2022-10-17,PAYX,Paychex,1
2022-10-17,PCAR,Paccar,1
2022-10-17,ADP,ADP,1
2022-10-17,ADBE,Adobe Inc.,1
2022-10-17,SBUX,Starbucks,1
2022-10-17,CTSH,Cognizant,1
2022-10-17,ADSK,Autodesk,1
2022-10-17,CSCO,Cisco,1
2022-10-17,EA,Electronic Arts,1
2022-10-17,MSFT,Microsoft,1
2022-10-17,MU,Micron Technology,1
2022-10-17,BKNG,Booking Holdings,1
2022-10-17,INTC,Intel,1
2022-10-17,INTU,Intuit,1
2022-10-17,AAPL,Apple Inc.,1
2022-10-17,AMD,AMD,1
2022-10-24,ATVI,Activision Blizzard,1
2022-10-24,MDLZ,MondelÄ“z International,1
2022-10-24,MNST,Monster Beverage,1
2022-10-24,KDP,Keurig Dr Pepper,1
2022-11-07,MTCH,Match Group,1
2022-11-07,CPRT,Copart,1
2022-11-07,EBAY,eBay,1
2022-11-14,REGN,Regeneron,1
2022-11-14,DXCM,DexCom,-1
2022-11-14,ORLY,O'Reilly Automotive,1
