Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
MMM,3M,132.48,11,0,33,0,44,21,1,48,5,75,119
AXP,American Express,304.31,34,58,55,90,237,39,16,49,11,115,352
AMGN,Amgen,280.0,-14,-31,0,17,-28,1,-39,-3,14,-27,-55
AMZN,Amazon,205.79,0,56,76,12,144,14,21,8,11,54,198
AAPL,Apple Inc.,234.99,34,8,31,242,315,26,2,24,18,70,385
BA,Boeing,152.41,28,-2,-35,-4,-13,25,-19,-39,-2,-35,-48
CAT,Caterpillar Inc.,403.76,23,55,110,52,240,37,2,8,48,95,335
CVX,Chevron Corporation,162.1,76,19,4,35,134,6,47,3,-9,47,181
CSCO,Cisco,59.31,27,74,11,3,115,35,68,7,16,126,241
KO,Coca-Cola Company (The),64.45,35,-25,36,53,99,40,-42,-3,5,0,99
DIS,Walt Disney Company (The),117.61,118,34,3,-32,123,35,66,3,4,108,231
GS,Goldman Sachs,605.4,34,39,55,48,176,5,47,49,9,110,286
HD,Home Depot (The),427.27,32,5,55,168,260,28,7,12,9,56,316
HON,Honeywell,229.66,0,17,30,13,60,25,13,8,6,52,112
IBM,IBM,227.0,40,0,71,18,129,47,-23,17,44,85,214
JNJ,Johnson & Johnson,155.39,11,-18,0,0,-7,1,-21,18,-22,-24,-31
JPM,JPMorgan Chase,249.73,34,34,81,26,175,-2,34,49,17,98,273
MCD,McDonald's,295.14,13,0,15,233,261,26,-19,12,48,67,328
MRK,Merck & Co.,103.08,32,-48,-10,150,124,42,-45,-14,38,21,145
MSFT,Microsoft,422.91,14,2,87,155,258,21,-12,-13,16,12,270
NKE,"Nike, Inc.",78.31,27,-23,-48,-16,-60,-1,-33,-41,-28,-103,-163
NVDA,Nvidia,135.42,-22,50,90,125,243,-26,47,103,17,141,384
PG,Procter & Gamble,179.33,86,5,47,78,216,66,6,44,17,133,349
CRM,Salesforce,330.14,-3,55,9,13,74,-8,47,9,12,60,134
SHW,Sherwin-Williams,393.97,28,5,57,179,269,29,10,17,10,66,335
TRV,Travelers Companies (The),266.76,35,76,54,48,213,7,29,13,47,96,309
UNH,UnitedHealth Group,608.34,13,6,20,167,206,34,16,24,-10,64,270
VZ,Verizon,44.4,59,3,46,-33,75,75,3,12,3,93,168
V,Visa Inc.,314.68,21,21,16,124,182,26,30,10,17,83,265
WMT,Walmart,91.87,49,79,90,86,304,45,70,42,20,177,481
