Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
RR.L,Rolls-Royce Holdings,1076.0,-9,80,108,25,204,-16,83,114,27,208,412
FCIT.L,F & C Investment Trust,1161.98,2,66,8,179,255,-9,80,10,57,138,393
DPLM.L,Diploma,5340.0,-27,66,13,186,238,8,13,10,26,57,295
NWG.L,NatWest Group,547.4,54,11,73,44,182,-7,18,83,14,108,290
SMT.L,Scottish Mortgage Investment Trust,1082.5,6,67,80,4,157,16,75,8,15,114,271
BT-A.L,BT Group,214.3,45,66,64,4,179,-14,58,25,20,89,268
STAN.L,Standard Chartered,1339.0,-12,68,69,34,159,-23,78,9,42,106,265
AAF.L,Airtel Africa,217.54,0,164,31,0,195,-9,32,31,8,62,257
IAG.L,International Airlines Group,388.5,39,68,70,1,178,3,32,10,25,70,248
FRES.L,Fresnillo plc,1703.0,0,139,46,6,191,2,2,41,6,51,242
BARC.L,Barclays,370.9,0,72,78,18,168,-5,40,10,17,62,230
GAW.L,Games Workshop,15750.0,12,-6,49,35,90,22,15,64,26,127,217
INF.L,Informa,878.0,25,67,6,34,132,-2,38,7,41,84,216
IMI.L,IMI,2248.0,-8,67,16,57,132,-25,73,10,25,83,215
HLMA.L,Halma plc,3232.0,-26,72,74,10,130,-21,82,10,14,85,215
CCH.L,Coca-Cola HBC,3882.0,55,-9,79,19,144,14,-9,37,29,71,215
AV.L,Aviva,658.8,-1,83,33,24,139,-9,27,30,19,67,206
HSBA.L,HSBC,937.6,-10,67,74,32,163,-11,1,10,43,43,206
ALW.L,Alliance Witan,1264.0,9,67,1,65,142,31,-4,8,26,61,203
III.L,3i,4000.0,-22,-5,59,14,46,-29,-10,144,30,135,181
BA.L,BAE Systems,1792.0,9,-8,25,45,71,36,-13,23,61,107,178
PCT.L,Polar Capital Technology Trust,402.8,-11,68,-50,75,82,-12,76,10,21,95,177
SMIN.L,Smiths Group,2322.0,-7,70,40,35,138,-2,-2,10,32,38,176
PSH.L,Pershing Square Holdings,4260.0,42,62,14,25,143,3,-7,7,30,33,176
MNG.L,M&G,263.2,0,71,16,0,87,-5,78,10,4,87,174
PRU.L,Prudential plc,982.0,0,89,18,0,107,-4,81,27,-39,65,172
IMB.L,Imperial Brands,3071.0,13,13,67,14,107,19,24,2,14,59,166
TSCO.L,Tesco,414.7,0,87,18,14,119,4,-1,14,26,43,162
AHT.L,Ashtead Group,5306.0,40,48,-29,1,60,-6,79,6,20,99,159
ANTO.L,Antofagasta plc,2092.0,81,22,2,21,126,-6,32,10,-5,31,157
STJ.L,St. James's Place,1298.5,-11,70,44,2,105,-4,38,10,5,49,154
BAB.L,Babcock International,1045.0,27,0,30,9,66,44,-26,28,40,86,152
PHNX.L,Phoenix Group,686.0,0,91,19,4,114,-6,13,22,4,33,147
BATS.L,British American Tobacco,4261.0,1,66,55,5,127,-33,29,12,7,15,142
SBRY.L,Sainsbury's,299.2,1,83,14,5,103,1,21,10,-6,26,129
ADM.L,Admiral Group,3574.0,27,13,20,8,68,-1,14,26,18,57,125
LLOY.L,Lloyds Banking Group,82.96,0,11,31,18,60,-9,25,30,17,63,123
LGEN.L,Legal & General,258.4,0,66,18,3,87,-5,24,10,4,33,120
CPG.L,Compass Group,2566.0,0,4,0,44,48,27,-4,-17,61,67,115
UU.L,United Utilities,1131.0,0,3,20,6,29,19,20,15,26,80,109
AZN.L,AstraZeneca,11739.0,36,19,1,2,58,47,19,-16,-3,47,105
SN.L,Smith & Nephew,1350.5,0,66,11,0,77,-17,34,7,1,25,102
WTB.L,Whitbread,3096.0,36,72,0,2,110,-5,-6,10,-9,-10,100
CNA.L,Centrica,163.2,-2,13,22,26,59,-2,13,27,1,39,98
IHG.L,IHG Hotels & Resorts,8838.0,0,21,-5,43,59,-8,3,-18,56,33,92
ICG.L,ICG,2180.0,-1,24,0,19,42,-3,25,8,19,49,91
WEIR.L,Weir Group,2420.0,-30,0,79,35,84,-25,-8,10,27,4,88
EDV.L,Endeavour Mining,2488.0,9,15,19,0,43,3,14,20,5,42,85
REL.L,RELX,3539.0,0,-12,-2,58,44,9,-16,-2,50,41,85
HSX.L,Hiscox,1316.0,-47,9,15,19,-4,-4,20,24,43,83,79
NXT.L,Next plc,11765.0,-2,-11,21,34,42,-9,-4,22,24,33,75
LSEG.L,London Stock Exchange Group,9254.0,-39,-45,-4,152,64,11,-21,-8,28,10,74
MRO.L,Melrose Industries,590.6,0,37,2,4,43,-3,5,1,26,29,72
EZJ.L,EasyJet,510.8,71,-16,0,-3,52,33,-40,10,17,20,72
PSON.L,Pearson plc,1069.5,0,-9,-10,43,24,2,-3,-16,61,44,68
NG.L,National Grid plc,1041.5,-2,-2,23,0,19,18,-1,20,7,44,63
ABF.L,Associated British Foods,2266.0,0,26,0,5,31,-18,36,11,-6,23,54
EXPN.L,Experian,3812.0,2,0,11,22,35,-7,-7,10,18,14,49
SSE.L,SSE plc,1776.5,0,-1,10,5,14,26,-11,13,-3,25,39
VOD.L,Vodafone Group,87.08,65,66,13,-88,56,4,4,10,-36,-18,38
BP.L,BP,419.49,0,27,0,0,27,11,29,-18,-12,10,37
SVT.L,Severn Trent,2592.0,-2,-8,20,-4,6,19,-10,16,2,27,33
RMV.L,Rightmove,767.2,-68,0,52,10,-6,-63,25,60,12,34,28
HWDN.L,Howdens Joinery,860.5,-2,10,4,21,33,-9,-6,10,-2,-7,26
GSK.L,GSK plc,1437.5,36,-3,-9,-14,10,10,-4,10,-7,9,19
AUTO.L,Auto Trader Group,811.6,-57,0,0,32,-25,-13,33,2,22,44,19
BEZ.L,Beazley,785.0,-36,-4,0,40,0,-35,5,-1,41,10,10
CCEP.L,Coca-Cola Europacific Partners,6690.0,-31,-4,12,1,-22,-36,-8,18,52,26,4
RKT.L,Reckitt,5443.0,-2,18,7,-42,-19,-6,18,5,1,18,-1
HIK.L,Hikma Pharmaceuticals,1801.0,0,-12,-3,0,-15,6,-12,-3,23,14,-1
MKS.L,Marks & Spencer,347.1,46,-44,0,22,24,-5,-43,-6,24,-30,-6
SDR.L,Schroders,394.4,-3,46,6,-28,21,-9,1,6,-39,-41,-20
ULVR.L,Unilever,4501.0,-26,0,0,15,-11,-19,4,-8,14,-9,-20
SHEL.L,Shell plc,2629.0,-72,30,0,45,3,-27,-1,7,-4,-25,-22
JD.L,JD Sports,87.56,33,22,-42,-11,2,-7,-7,6,-21,-29,-27
ITRK.L,Intertek,4654.0,-22,-12,-3,8,-29,-24,-4,-3,16,-15,-44
HLN.L,Haleon,359.85,29,-43,0,0,-14,1,-46,-3,13,-35,-49
CTEC.L,Convatec,230.4,4,-27,-3,21,-5,-10,-42,-2,4,-50,-55
AAL.L,Anglo American plc,2134.0,-3,-1,-3,-16,-23,-3,-10,10,-32,-35,-58
BKG.L,Berkeley Group Holdings,3694.0,-3,-42,-25,-3,-73,-9,8,-1,16,14,-59
SPX.L,Spirax Group,7083.96,45,5,-66,-24,-40,-5,42,-20,-37,-20,-60
GLEN.L,Glencore,288.95,0,0,-43,-7,-50,-5,-9,4,-3,-13,-63
LMP.L,LondonMetric Property,187.8,-8,-12,0,-28,-48,-6,-31,10,11,-16,-64
DCC.L,DCC plc,4710.0,1,-6,-20,-6,-31,-4,-8,-20,-1,-33,-64
KGF.L,Kingfisher plc,269.6,-15,-16,0,0,-31,-41,-25,16,13,-37,-68
LAND.L,Land Securities,570.0,-39,-12,-7,-2,-60,-9,-1,10,-9,-9,-69
SGE.L,Sage Group,1091.5,-123,-12,-1,53,-83,-54,-5,10,34,-15,-98
RIO.L,Rio Tinto,4442.5,-27,22,-25,-9,-39,-19,4,-36,-22,-73,-112
TW.L,Taylor Wimpey,98.94,-7,-27,-36,-3,-73,-9,-34,-3,-3,-49,-122
SGRO.L,Segro,630.4,-5,-15,-42,-25,-87,-9,-34,10,-5,-38,-125
RTO.L,Rentokil Initial,360.75,-12,13,-50,-12,-61,-38,20,-47,-17,-82,-143
BNZL.L,Bunzl,2272.0,19,-122,-24,0,-127,24,-20,-28,-3,-27,-154
BTRW.L,Barratt Redrow,369.7,-14,-34,-7,-42,-97,-18,-35,-1,-8,-62,-159
MNDI.L,Mondi,1053.0,-7,-13,-44,-43,-107,-6,-24,-3,-40,-73,-180
ENT.L,Entain,884.6,-67,0,9,-24,-82,-66,-5,10,-38,-99,-181
WPP.L,WPP,378.4,0,-51,-25,-25,-101,21,-53,-26,-34,-92,-193
UTG.L,Unite Group,728.5,-71,-34,-46,-17,-168,-11,-33,-5,-10,-59,-227
PSN.L,Persimmon,1094.5,-68,-27,-29,-41,-165,-36,-37,-1,-2,-76,-241
CRDA.L,Croda International,2488.0,0,-15,-118,-20,-153,-4,-55,-3,-36,-98,-251
DGE.L,Diageo,2037.0,0,8,-121,-22,-135,-7,26,-117,-28,-126,-261
