Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
PLD,Prologis,122.76,7,38,8,1,54,10,37,19,-7,59,113
AMT,American Tower,190.02,1,-51,-6,-2,-58,7,-50,-4,13,-34,-92
EQIX,Equinix,822.51,42,3,0,36,81,54,22,-17,28,87,168
WELL,Welltower,172.35,0,3,125,60,188,11,-2,142,26,177,365
DLR,Digital Realty,175.21,2,3,6,24,35,7,22,19,21,69,104
O,Realty Income,59.47,0,53,19,9,81,12,-4,19,15,42,123
PSA,Public Storage,301.07,90,14,1,3,108,35,9,19,-2,61,169
SPG,Simon Property Group,178.51,-54,78,10,37,71,1,-2,17,23,39,110
CCI,Crown Castle,98.12,38,0,1,-30,9,7,9,-4,7,19,28
CBRE,CBRE Group,156.89,7,0,101,24,132,13,-16,17,16,30,162
IRM,Iron Mountain,105.77,3,23,5,59,90,5,22,19,58,104,194
EXR,Extra Space Storage,149.26,21,3,1,1,26,13,3,1,15,32,58
VICI,Vici Properties,31.3,-47,-8,67,17,29,9,-20,32,59,80,109
AVB,AvalonBay Communities,183.95,-72,-8,-12,18,-74,7,-8,-16,17,0,-74
CSGP,CoStar Group,75.18,-56,-16,-2,0,-74,-47,-39,-1,1,-86,-160
VTR,Ventas,68.9,0,65,81,24,170,8,12,13,17,50,220
SBAC,SBA Communications,194.44,7,-51,-8,-22,-74,11,-51,-7,-1,-48,-122
EQR,Equity Residential,62.1,0,-10,-5,15,0,11,-14,-12,15,0,0
WY,Weyerhaeuser,23.75,-48,-24,-32,-1,-105,3,-28,-44,-10,-79,-184
INVH,Invitation Homes,28.43,0,-59,-17,0,-76,14,-24,-12,16,-6,-82
ESS,Essex Property Trust,257.15,-60,-10,-3,16,-57,7,-2,-12,16,9,-48
MAA,Mid-America Apartment Communities,132.0,-105,-55,-6,-1,-167,-38,-18,-17,13,-60,-227
ARE,Alexandria Real Estate Equities,76.25,0,-6,-46,-32,-84,7,-8,4,-37,-34,-118
KIM,Kimco Realty,21.73,7,0,3,57,67,11,-15,17,16,29,96
DOC,Healthpeak Properties,18.53,-38,30,-2,-33,-43,5,33,3,11,52,9
UDR,"UDR, Inc.",36.23,0,-54,-7,-2,-63,16,-22,-14,15,-5,-68
BXP,"BXP, Inc.",71.72,-47,1,7,0,-39,7,-5,19,15,36,-3
CPT,Camden Property Trust,101.7,-106,-16,-4,-1,-127,7,-17,-12,13,-9,-136
HST,Host Hotels & Resorts,16.58,0,0,7,4,11,12,-11,17,-8,10,21
REG,Regency Centers,72.44,7,1,3,55,66,12,-2,19,21,50,116
FRT,Federal Realty Investment Trust,98.24,0,1,1,3,5,11,-12,10,-3,6,11
